loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 16, 58.5, 9, 54, 21.0, Gaia DR3 4492020605997913856
1, 86, 28, 04.9, 14, 04, 25.4, Gaia DR3 4541858646287472000
1, 87, 51, 43.7, 18, 48, 36.8, Gaia DR3 4560178575891289728
6, 65, 06, 03.8, 14, 09, 28.4, V1110 Her 
6, 48, 29, 33.8, 22, 29, 16.5, HIP 96585 
6, 27, 56, 16.4, 35, 16, 53.9, Gaia DR3 2193335894220432000
