loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 02, 25.1, 8, 26, 05.2, Gaia DR3 4491080798433879552
1, 86, 36, 50.6, 12, 56, 31.9, SAO 102720 
1, 88, 38, 02.6, 17, 57, 04.6, HIP 83260 
6, 66, 00, 11.2, 13, 19, 04.9, HIP 92381 
6, 51, 49, 44.6, 22, 21, 40.4, HIP 95480 
6, 35, 36, 40.9, 32, 48, 03.3, Gaia DR3 2185383027836207232
