loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 49, 34.7, 18, 45, 48.9 , HIP 83824
1, 83, 53, 24.1, 19, 28, 15.3 , SAO 84927
1, 81, 50, 53.5, 20, 21, 51.5 , HD 156776
1, 80, 56, 08.9, 17, 58, 10.6 , HD 158148
1, 81, 28, 47.3, 16, 57, 22.6 , HD 158167
1, 83, 15, 52.5, 16, 12, 19.7 , TYC 1541-2795-1
1, 85, 55, 54.9, 16, 09, 38.0 , HD 155713
2, 85, 45, 41.4, 25, 22, 06.2 , HD 153312
2, 84, 08, 13.5, 25, 49, 38.5 , HD 154084
2, 83, 24, 06.5, 25, 26, 53.8 , HD 154635
2, 82, 55, 49.0, 23, 44, 41.7 , 63 Herculis
2, 82, 11, 21.0, 22, 47, 40.0 , HD 156284
2, 85, 06, 36.5, 22, 23, 56.5 , HD 154733
