loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 79, 41, 53.8, 9, 33, 38.7, Gaia DR3 4499423961385394048
1, 77, 36, 08.5, 9, 52, 10.9, Gaia DR3 4499888466391722240
1, 78, 03, 53.7, 6, 39, 49.5, Gaia DR3 4495096008741788288
1, 80, 10, 21.4, 6, 47, 05.1, Gaia DR3 4489681120131952256
3, 57, 55, 59.4, 12, 19, 44.1, Gaia DR3 2024116798411418112
3, 55, 43, 22.0, 12, 16, 03.0, HD 338277 
3, 55, 17, 36.3, 9, 45, 04.3, Gaia DR3 2021356543234078080
3, 58, 01, 05.5, 9, 51, 07.1, HD 344204
