loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 14, 04.1, 16, 00, 01.4, V655 Her 
1, 86, 08, 48.7, 14, 31, 08.5, HIP 84553 
1, 86, 35, 31.0, 14, 16, 53.4, Gaia DR3 4543362645053445632
1, 87, 04, 38.6, 14, 21, 43.1, Gaia DR3 4541864251223209600
1, 88, 03, 15.1, 14, 26, 20.1, Gaia DR3 4544736416112388096
1, 89, 00, 55.6, 15, 45, 14.3, HD 154378 
1, 89, 16, 59.6, 17, 30, 08.1, HD 153670 
1, 89, 44, 07.7, 18, 23, 46.7, HD 153108 
1, 89, 06, 37.5, 19, 04, 26.7, Gaia DR3 4558658844657626880
1, 88, 01, 47.4, 18, 00, 34.9, Gaia DR3 4546383621969568256
1, 86, 54, 27.6, 16, 30, 38.7, HD 155359 
6, 37, 06, 10.9, 25, 44, 32.8, Gaia DR3 2083041791197818880
6, 36, 51, 46.4, 30, 06, 34.3, HD 192378 
6, 37, 27, 02.5, 33, 10, 23.4, HIP 98491 
6, 38, 53, 21.5, 36, 27, 41.8, V2089 Cyg 
6, 39, 33, 13.1, 36, 43, 31.3, V1143 Cyg
6, 39, 58, 45.4, 35, 46, 05.1, HD 234965 
6, 39, 59, 43.5, 30, 38, 08.7, Gaia DR3 2087069474086869888
6, 39, 28, 35.6, 26, 54, 31.8, HIP 99211 
6, 38, 59, 53.4, 25, 13, 00.6, HD 192785 
