loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 83, 50, 50.1, 19, 00, 40.1, HD 156111 (used 8_09)
1, 81, 57, 34.8, 18, 55, 38.2, HD 157331
1, 81, 03, 32.7, 18, 02, 00.0, HD 158148
1, 81, 30, 27.2, 16, 45, 41.5, TYC 1545-113-1
1, 83, 27, 05.6, 15, 54, 29.8, TYC 1541-198-1
1, 85, 43, 05.8, 16, 11, 15.4, AK Herculis
6, 22, 49, 22.8, 35, 28, 47.0, HD 202214
6, 23, 13, 47.6, 33, 47, 53.5, HD 202519
6, 22, 06, 35.4, 30, 24, 42.1, HD 204754
6, 22, 12, 41.7, 29, 38, 05.2, HD 204916
6, 22, 44, 36.5, 28, 00, 16.2, HD 204965
6, 24, 45, 03.9, 27, 55, 15.6, HD 203283
6, 27, 08, 34.6, 28, 45, 22.6, HD 200943
6, 30, 02, 47.5, 28, 35, 20.8, HD 198638
6, 32, 13, 25.0, 29, 59, 09.5, HD 196379
