loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 00, 03.9, 18, 00, 12.1, HIP 85385 
1, 81, 45, 30.6, 19, 21, 13.2, Gaia DR3 4567221806860782080
1, 82, 41, 38.9, 19, 58, 07.1, Gaia DR3 4566918753968228480
1, 83, 57, 20.7, 19, 30, 17.6, HIP 84249 
1, 85, 29, 36.7, 18, 22, 06.6, Gaia DR3 4548456785507296512
1, 84, 46, 21.0, 16, 41, 04.3, HD 156285 
1, 83, 49, 57.2, 16, 19, 35.9, HD 157011
1, 82, 57, 45.1, 16, 22, 46.1, Gaia DR3 4553426852939148800
1, 80, 58, 52.9, 17, 00, 55.0, V1266 Her 
6, 21, 08, 26.1, 28, 42, 08.1, HIP 106771 
6, 21, 10, 05.6, 31, 45, 12.7, HIP 106228 
6, 22, 21, 52.4, 32, 30, 33.5, HIP 105507 
6, 25, 02, 35.7, 33, 27, 35.7, HD 239561 
6, 27, 24, 10.2, 33, 35, 14.3, HIP 102858 
6, 29, 45, 15.0, 32, 55, 06.3, HD 197149 
6, 31, 02, 39.9, 31, 33, 14.0, HD 235293 
6, 30, 37, 43.3, 29, 51, 56.1, HIP 102240 
6, 28, 02, 58.5, 28, 58, 44.1, HD 235417 
6, 26, 08, 09.3, 28, 27, 46.3, HIP 104520 
6, 23, 32, 56.1, 27, 37, 24.6, Gaia DR3 2172716756965538688
