loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 57, 12.1, 20, 27, 23.5, Gaia DR3 4561739195207244800
1, 83, 52, 04.2, 20, 34, 57.3, Gaia DR3 4567787741811773696
1, 81, 46, 27.6, 20, 58, 39.6, HIP 84555 
1, 81, 10, 47.7, 20, 23, 35.0, Gaia DR3 4567636597621422848
1, 81, 00, 03.2, 18, 21, 45.8, Gaia DR3 4554956067463644800
1, 82, 01, 09.0, 18, 09, 31.5, HIP 84971 
1, 83, 32, 23.2, 18, 37, 35.6, Gaia DR3 4554641160460442496
1, 84, 41, 50.8, 18, 57, 38.4, Gaia DR3 4560669709691400576
6, 22, 27, 42.0, 35, 29, 02.4, V419 Cep 
6, 22, 58, 40.3, 35, 51, 06.3, HD 239583 
6, 25, 58, 55.1, 34, 51, 47.7, Gaia DR3 2190366529930394112
6, 25, 50, 50.1, 32, 27, 29.8, HD 200464 
6, 24, 44, 29.0, 31, 06, 32.5, V1425 Cyg 
6, 22, 22, 28.2, 31, 57, 46.4, HD 203838 
6, 21, 01, 43.2, 34, 30, 55.4, HD 204152 
