loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 80, 04, 16.9, 12, 51, 20.0, HIP 86623 
1, 82, 32, 19.4, 12, 26, 03.6, Gaia DR3 4542665206786261888
1, 83, 46, 56.6, 11, 32, 05.9, HIP 85733 
1, 85, 13, 45.5, 10, 41, 29.0, Gaia DR3 4492270195137273216
1, 85, 36, 16.0, 10, 04, 13.5, Gaia DR3 4492020605997913856
1, 83, 32, 49.5, 9, 23, 48.7, HIP 86123 
1, 82, 00, 59.3, 9, 15, 19.0, SAO 103030 
1, 79, 52, 51.7, 9, 50, 58.6, SAO 103122 
1, 79, 00, 00.5, 11, 21, 09.8, Gaia DR3 4500890435016106496
6, 49, 32, 02.2, 17, 20, 28.9, 17 Cyg 
6, 47, 35, 54.7, 18, 47, 41.9, HD 226191 
6, 46, 49, 40.9, 19, 08, 19.9, HD 188502 
6, 48, 16, 18.1, 20, 47, 51.0, 15 Cyg 
6, 52, 18, 15.1, 21, 04, 56.6, HIP 95616 
6, 58, 40, 06.9, 19, 31, 48.0, HIP 93718 
6, 58, 45, 57.1, 17, 30, 16.6, SAO 86868 
6, 56, 50, 46.3, 16, 36, 12.3, HIP 94875 
