loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 87, 13, 09.8, 15, 32, 20.5, Gaia DR3 4545164297934548864
1, 86, 57, 25.3, 14, 36, 16.5, Rasalgethi​
1, 87, 10, 47.8, 13, 44, 57.6, Gaia DR3 4541753303627759104
1, 87, 43, 47.7, 13, 38, 07.4, Gaia DR3 4541641497038883072
1, 88, 34, 05.8, 14, 19, 48.8, HD 155181 
1, 89, 31, 56.3, 17, 57, 19.3, HD 153456 
1, 89, 04, 31.2, 18, 29, 09.2, Gaia DR3 4558424305091820928
1, 87, 27, 44.6, 16, 09, 28.5, HD 155248 
6, 44, 02, 11.0, 28, 44, 55.9, Gaia DR3 2080395507225092992
6, 43, 31, 46.2, 24, 57, 39.0, SAO 48985 
6, 42, 08, 22.6, 24, 33, 40.7, SAO 49121 
6, 41, 11, 31.4, 25, 50, 24.5, Gaia DR3 2082087655623510144
6, 40, 46, 50.3, 27, 02, 42.2, HIP 98709 
6, 42, 14, 47.1, 34, 43, 02.0, HIP 96200 
6, 44, 03, 03.0, 37, 06, 35.9, 1 Cyg 
6, 45, 20, 31.0, 35, 22, 28.6, HIP 94814 
6, 45, 30, 35.4, 34, 16, 22.6, HIP 95062 
