loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 77, 48, 05.1, 13, 40, 01.0, HIP 87044 
1, 79, 00, 30.1, 14, 19, 44.4, Gaia DR3 4549722804424477440
1, 79, 53, 51.3, 14, 33, 37.0, Gaia DR3 4550381961645353088
1, 81, 28, 38.2, 14, 13, 04.8, HIP 85870 
1, 83, 59, 46.0, 13, 05, 54.6, Gaia DR3 4542442388182343936
1, 84, 20, 56.7, 12, 22, 15.3, HD 157996 
1, 83, 54, 28.6, 11, 56, 01.9, Gaia DR3 4542132222824788608
1, 81, 21, 49.1, 11, 21, 26.6, Gaia DR3 4494518730775793920
1, 79, 28, 11.1, 10, 54, 39.4, Gaia DR3 4500420870535646464
1, 77, 51, 56.9, 11, 01, 43.7, HIP 87427 A 
1, 77, 09, 31.2, 12, 01, 12.7, Gaia DR3 4502576742258705792
6, 39, 32, 38.4, 20, 13, 06.1, 37 Cyg 
6, 39, 06, 28.3, 22, 44, 21.6, Gaia DR3 2068799301683843072
6, 39, 43, 53.4, 23, 10, 26.6, HD 192786 
6, 43, 40, 34.5, 23, 16, 17.2, HD 226755 
6, 47, 02, 27.7, 23, 28, 06.9, HIP 96907 
6, 49, 19, 36.0, 22, 34, 41.6, Gaia DR3 2052273023447368576
6, 49, 28, 20.6, 21, 10, 51.7, SAO 68584 
6, 48, 12, 53.4, 20, 24, 19.2, Gaia DR3 2048748882528982784
6, 46, 27, 46.5, 18, 40, 47.5, HD 226533 
6, 43, 46, 18.6, 19, 12, 57.5, HIP 98963 
