loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 22, 23.9, 8, 36, 40.0, Gaia DR3 4491157386291111936
1, 84, 37, 58.8, 10, 02, 04.9, HIP 85463 
1, 84, 08, 38.7, 10, 29, 55.9, Gaia DR3 4493830264697772672
1, 83, 14, 10.7, 10, 46, 35.5, SAO 102884 
1, 81, 59, 44.2, 11, 10, 11.4, SAO 102938 
1, 81, 22, 37.9, 10, 58, 03.7, Gaia DR3 4494481519179091328
1, 79, 54, 58.4, 10, 32, 16.3, SAO 103062 
1, 77, 26, 08.6, 10, 12, 55.9, HIP 87571 
1, 76, 29, 17.3, 9, 24, 58.2, HIP 87983 
1, 77, 11, 04.1, 8, 01, 25.1, SAO 103260 
1, 79, 55, 05.5, 7, 37, 34.8, SAO 103134 
1, 83, 36, 37.8, 8, 14, 36.5, HIP 86027
6, 60, 43, 54.4, 14, 51, 27.3, HIP 93615 
6, 58, 47, 00.2, 17, 31, 21.0, HIP 93770
6, 59, 38, 11.6, 18, 07, 59.9, SAO 67703 
6, 61, 11, 34.6, 19, 33, 15.1, SAO 67491 
6, 61, 45, 33.9, 17, 51, 20.3, SAO 86549 
