loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 00, 43.3, 26, 16, 32.9, HD 155155 
1, 86, 10, 27.6, 17, 25, 09.5, Gaia DR3 4547942592021167616
1, 87, 30, 32.7, 17, 00, 43.0, HIP 83682 
1, 88, 28, 39.8, 17, 09, 39.3, HD 154050 
1, 89, 05, 04.2, 18, 06, 48.6, Gaia DR3 4558315590879205632
1, 89, 22, 31.0, 20, 07, 57.8, Gaia DR3 4559562952456782080
1, 88, 40, 43.8, 20, 49, 16.9, HIP 82721 
1, 87, 58, 50.5, 20, 03, 23.1, Gaia DR3 4561051210164899840
3, 36, 46, 49.5, 26, 45, 12.0, HIP 99785 
3, 36, 35, 03.2, 27, 45, 19.7, Gaia DR3 2084391201203023872
3, 35, 56, 09.1, 27, 58, 28.7, Gaia DR3 2084506649923078656
3, 35, 36, 48.6, 27, 43, 18.3, Gaia DR3 2084317327767931392
3, 34, 58, 06.8, 27, 03, 43.2, Gaia DR3 2083862920228897920
3, 34, 35, 41.0, 26, 23, 22.7, SAO 49620 
3, 34, 16, 11.3, 25, 01, 25.3, HD 195711 
3, 34, 20, 13.4, 24, 34, 10.2, Gaia DR3 2071405522203556608
3, 34, 27, 21.6, 22, 59, 40.9, Gaia DR3 2070712658077089408
3, 35, 14, 47.3, 22, 30, 28.7, HIP 101289 
3, 35, 48, 40.0, 23, 07, 20.1, SAO 49656 
3, 36, 26, 46.0, 25, 07, 26.8, Gaia DR3 2083203659927156608
