loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 83, 04, 48.9, 10, 33, 39.7, 55 Oph 
1, 79, 47, 39.0, 10, 31, 28.5, HIP 87012 
1, 78, 47, 54.1, 11, 09, 56.5, Gaia DR3 4500839135929994112
1, 78, 40, 00.0, 12, 22, 49.5, Gaia DR3 4501279627774917248
1, 78, 56, 39.5, 13, 13, 05.4, Gaia DR3 4549413017023138176
1, 80, 00, 02.4, 13, 30, 39.4, Gaia DR3 4549487543295858944
1, 80, 46, 13.3, 13, 24, 28.9, Gaia DR3 4549086698290244992
1, 84, 55, 45.9, 12, 22, 14.4, HIP 85229 
1, 85, 54, 59.0, 11, 31, 07.5, Gaia DR3 4540442342170089600
6, 49, 28, 10.5, 17, 49, 15.8, HD 225629 
6, 46, 43, 28.2, 18, 04, 48.2, HD 226635 
6, 44, 06, 11.6, 19, 05, 49.8, HD 227545 
6, 44, 05, 47.7, 20, 11, 23.6, Gaia DR3 2072397655341883136
6, 45, 40, 13.6, 22, 14, 14.6, HIP 97724 
6, 47, 47, 38.1, 21, 39, 23.1, HIP 97083 A 
6, 52, 03, 18.3, 20, 33, 55.3, Gaia DR3 2049883681602489088
6, 55, 32, 23.6, 19, 31, 49.6, HIP 94740 
6, 55, 18, 36.3, 18, 15, 30.5, HIP 95051 
6, 52, 52, 03.5, 17, 21, 56.0, Gaia DR3 2045497145591297664
