loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 76, 09, 11.6, 14, 35, 11.7, HIP 87192 
1, 75, 17, 09.0, 15, 03, 44.5, Gaia DR3 4552622079150126592
1, 74, 54, 14.8, 16, 21, 21.4, HD 162364 
1, 75, 13, 56.9, 17, 02, 02.1, Gaia DR3 4556131926428179584
1, 80, 13, 07.5, 17, 21, 46.3, HIP 85519 
1, 82, 55, 28.8, 16, 41, 26.1, V656 Her 
1, 83, 53, 43.6, 16, 07, 52.4, HIP 84623 
1, 83, 51, 30.4, 14, 57, 04.7, HIP 84843 
1, 83, 41, 51.7, 13, 50, 19.8, Gaia DR3 4543854985743999360
1, 79, 20, 26.4, 13, 50, 58.6, Gaia DR3 4549584506479660928
6, 35, 20, 57.7, 27, 33, 04.9, HD 194300 
6, 34, 36, 56.5, 24, 04, 15.3, Gaia DR3 2071166722016651648
6, 33, 55, 16.0, 22, 56, 21.6, HD 197161 
6, 31, 42, 26.6, 22, 05, 26.1, HIP 103053 
6, 30, 07, 30.6, 22, 30, 18.6, Gaia DR3 2163448389354106240
6, 28, 30, 19.8, 23, 12, 59.5, Gaia DR3 2165109029872796672
6, 27, 40, 14.2, 23, 31, 07.1, Gaia DR3 2164491757170515200
6, 26, 53, 33.1, 26, 29, 29.8, Gaia DR3 2169089055789402112
6, 30, 52, 00.0, 28, 34, 20.8, HIP 102223 
6, 34, 42, 12.5, 28, 42, 39.6, SAO 49565 
