loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 42, 31.8, 16, 22, 18.5, TYC 1535-1461-1
1, 83, 41, 57.1, 17, 05, 23.8, V656 Herculis
1, 81, 15, 16.7, 16, 55, 15.6, TYC 1546-1928-1
1, 80, 54, 26.8, 15, 07, 36.3, SAO 102923
1, 83, 48, 06.2, 14, 18, 10.1, HD 157895
1, 86, 44, 05.8, 14, 29, 26.5, Rasalgethi
4, 71, 04, 44.5, 25, 42, 45.4, HD 163505
4, 68, 23, 51.9, 25, 20, 08.8, HD 165683
4, 66, 31, 33.5, 25, 45, 21.8, HD 166988
4, 65, 24, 30.3, 25, 16, 13.4, HD 168178
4, 64, 53, 36.2, 24, 18, 48.4, HD 169060
4, 64, 50, 07.5, 22, 01, 15.9, HD 170199
4, 66, 36, 51.4, 21, 40, 13.6, 108 Herculis
4, 68, 13, 40.1, 21, 45, 35.8, HD 167588
4, 69, 56, 21.4, 22, 08, 47.3, Omicron Herculis
4, 72, 36, 19.9, 21, 58, 47.5, HD 164042
