loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 80, 15, 03.1, 11, 10, 51.5, Gaia DR3 4500396823018227072
1, 82, 46, 07.7, 11, 15, 29.9, Gaia DR3 4494362909363261312
1, 85, 03, 30.3, 10, 33, 42.7, HD 158574 
1, 85, 14, 11.5, 8, 51, 04.0, HIP 85823 
1, 84, 15, 08.0, 8, 06, 49.2, Gaia DR3 4492360733047526528
1, 81, 48, 39.8, 8, 19, 39.4, HIP 86906 
1, 80, 05, 57.9, 9, 16, 53.0, HD 162281 
6, 54, 15, 15.8, 15, 36, 37.8, HIP 96063 
6, 53, 20, 53.3, 17, 15, 25.0, Gaia DR3 2045102283501027456
6, 54, 38, 52.4, 18, 38, 21.7, idk
6, 56, 18, 07.5, 18, 36, 52.4, SAO 68086 
6, 60, 18, 46.0, 18, 55, 40.6, HIP 93369 
6, 62, 58, 38.7, 17, 22, 41.8, HIP 92768 
6, 64, 01, 05.1, 16, 21, 19.8, HIP 92631 
6, 62, 24, 50.6, 14, 07, 42.1, HD 177329 
6, 59, 59, 14.9, 14, 39, 03.6, HIP 94282 
