loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 83, 24, 29.6, 13, 00, 10.9, Gaia DR3 4542834638954279424
1, 81, 50, 35.2, 13, 01, 58.3, HIP 85976
1, 81, 05, 35.9, 13, 43, 30.3, Gaia DR3 4549146587313475968
1, 78, 29, 00.4, 13, 25, 21.2, Gaia DR3 4549451362494080128
1, 77, 41, 10.0, 12, 18, 47.9, Gaia DR3 4502773967156596096
1, 77, 31, 46.7, 10, 55, 04.2, SAO 103190 
1, 79, 15, 50.5, 10, 38, 50.4, Gaia DR3 4500406856061576448
1, 82, 18, 54.0, 10, 57, 36.6, HIP 86172 
1, 82, 50, 35.1, 11, 07, 06.2, 54 Oph 
1, 83, 44, 59.7, 11, 10, 02.8, Gaia DR3 4493988456933564800
5, 59, 27, 46.8, 23, 25, 19.6, HIP 92251
5, 57, 19, 03.4, 23, 39, 54.8, HIP 92920
5, 55, 20, 57.4, 21, 30, 00.2, Σ 2470
5, 57, 16, 50.3, 18, 18, 40.5, SAO 67847
5, 61, 43, 37.2, 17, 54, 06.2, HIP 92550
5, 65, 32, 19.6, 19, 17, 00.6, HIP 91026
