loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 37, 16.8, 11, 58, 44.7, Gaia DR3 4500594425873160960
1, 83, 54, 40.4, 11, 36, 03.6, HIP 85733 
1, 85, 06, 00.1, 10, 55, 53.6, Gaia DR3 4493828718509568768
1, 85, 40, 21.8, 10, 12, 35.4, Gaia DR3 4492023767094721280
1, 85, 26, 35.4, 9, 15, 11.4, SAO 102864 
1, 84, 25, 49.2, 8, 39, 44.8, HIP 86027 
1, 81, 08, 09.2, 8, 38, 28.4, HD 161730 
1, 79, 59, 06.7, 9, 05, 02.3, Gaia DR3 4499151763537780864
1, 79, 43, 36.9, 11, 21, 27.5, HIP 86996
1, 80, 04, 21.7, 12, 03, 48.3, Gaia DR3 4500711420782792064
6, 49, 38, 43.4, 17, 23, 33.4, 17 Cyg 
6, 49, 09, 21.2, 17, 36, 20.2, HD 225851 
6, 49, 10, 10.1, 18, 36, 15.8, HIP 97242 
6, 52, 10, 27.9, 19, 23, 12.4, 8 Cyg 
6, 55, 45, 58.8, 19, 38, 35.6, HIP 94740 
6, 59, 24, 29.1, 19, 30, 55.3, HIP 93514 
6, 61, 19, 51.9, 19, 15, 48.4, HIP 92911 
6, 60, 27, 42.7, 17, 39, 37.0, HIP 93512 
6, 56, 43, 13.6, 16, 09, 02.2, SAO 87096 
6, 53, 32, 04.4, 16, 08, 34.5, SAO 68477 
