loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 28, 21.3, 12, 13, 09.6, Gaia DR3 4541998421705212288
1, 83, 28, 41.2, 12, 35, 38.1, SAO 102916 
1, 80, 49, 02.2, 13, 14, 21.7, β 1251 
1, 79, 40, 04.0, 11, 28, 51.2, Gaia DR3 4500802336650109824
1, 79, 46, 31.1, 10, 00, 20.0, HIP 87420 
1, 84, 23, 24.2, 9°, 3', 1.3" V2380 Oph 
1, 86, 36, 26.6, 11, 06, 01.2, Gaia DR3 4492284518850434304
5, 64, 47, 55.8, 19, 17, 07.4, HIP 91361 
5, 62, 54, 27.2, 21, 29, 19.4, Gaia DR3 2090043408220702080
5, 59, 56, 45.2, 22, 12, 03.4, β Lyr
5, 58, 31, 56.5, 20, 43, 35.8, γ Lyr 
5, 58, 59, 14.0, 17, 56, 39.3, HD 177370 
5, 60, 13, 47.4, 17, 02, 14.4, HIP 93305 
5, 64, 33, 00.0, 15, 39, 22.4, HIP 92127 
5, 67, 29, 04.1, 17, 05, 42.8, HIP 90906 
