loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 76, 54, 05.3, 13, 29, 46.9, HIP 87267 
1, 77, 54, 49.1, 15, 07, 44.2, Gaia DR3 4552120598767881472
1, 79, 41, 49.9, 15, 35, 20.2, SAO 102950 
1, 81, 57, 02.8, 14, 43, 21.0, Gaia DR3 4550071899367048064
1, 83, 23, 54.7, 14, 05, 44.0, HIP 85271 
1, 84, 19, 29.4, 12, 37, 31.4, Gaia DR3 4542381292272271104
1, 84, 10, 20.6, 12, 16, 49.0, HD 157996 
1, 82, 02, 37.3, 12, 06, 34.5, Gaia DR3 4542664008493835776
1, 77, 29, 55.5, 11, 59, 44.2, Gaia DR3 4501256503671533056
1, 76, 46, 32.6, 12, 54, 55.7, Gaia DR3 4502894982155768320
1, 76, 53, 39.3, 13, 29, 33.6, HIP 87267 
6, 39, 43, 21.0, 24, 50, 59.6, HD 191896 
6, 42, 33, 28.1, 25, 04, 48.6, HD 189161 
6, 45, 00, 26.5, 23, 38, 04.8, HD 226018 
6, 45, 17, 26.6, 22, 27, 03.7, HD 226164 
6, 44, 10, 11.0, 20, 32, 02.8, HIP 98445 
6, 43, 25, 52.0, 20, 30, 52.6, HIP 98749 
6, 41, 23, 57.5, 19, 10, 36.8, HIP 99821 
6, 38, 37, 59.2, 19, 17, 09.3, HD 195016
6, 36, 24, 34.3, 19, 51, 06.3, HIP 101668 
6, 35, 11, 51.3, 22, 38, 33.7, SAO 49848 
6, 35, 56, 03.0, 23, 35, 40.8, Gaia DR3 2070651360301630848
6, 38, 13, 37.3, 24, 44, 56.0, HIP 100019 
