loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 80, 54, 23.2, 13, 41, 22.7, HIP 85930 
1, 77, 31, 26.3, 13, 54, 28.0, Gaia DR3 4551200891646460544
1, 76, 48, 13.8, 13, 55, 50.2, SAO 103120 
1, 75, 48, 02.4, 14, 30, 08.0, Gaia DR3 4551806172802234880
1, 75, 22, 23.5, 15, 45, 08.0, V969 Her 
1, 75, 26, 21.2, 16, 02, 51.6, Gaia DR3 4553000551672543872
1, 78, 32, 32.0, 16, 58, 57.6, Gaia DR3 4555494106599603072
1, 80, 06, 46.0, 17, 09, 48.1, HD 158640 
1, 81, 29, 40.7, 16, 23, 51.1, Gaia DR3 4553569308414319616
1, 83, 56, 54.4, 14, 53, 00.0, HIP 84848 
1, 83, 14, 23.1, 14, 04, 40.3, HIP 85187 
6, 37, 48, 30.0, 26, 36, 24.2, 31 Cyg 
6, 34, 30, 28.5, 22, 41, 01.2, HIP 101838 
6, 33, 13, 19.5, 22, 16, 59.5, SAO 50024 
6, 31, 05, 32.7, 21, 57, 00.3, Gaia DR3 2163020748046735872
6, 29, 59, 44.8, 22, 50, 10.0, SAO 50338 
6, 28, 34, 34.1, 24, 51, 33.2, Gaia DR3 2165494580489652352
6, 29, 03, 41.7, 25, 38, 05.7, SAO 50317 
6, 33, 32, 40.2, 28, 13, 37.3, HIP 101164 
6, 36, 35, 47.5, 27, 59, 28.5, HIP 99885 
6, 37, 46, 45.6, 27, 46, 44.5, RX Cyg 
