loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 41, 11.2, 19, 29, 17.4, Gaia DR3 4560766505373134848
1, 83, 58, 52.2, 19, 39, 26.2, Gaia DR3 4566932257344550016
1, 81, 48, 17.0, 20, 20, 30.4, HD 156776 
1, 81, 23, 37.8, 19, 25, 37.2, HIP 84972 
1, 80, 53, 32.3, 17, 56, 49.7, HIP 85385 
1, 82, 51, 43.2, 17, 21, 12.8, Gaia DR3 4554294161455169024
1, 84, 09, 57.4, 17, 17, 09.0, HIP 84498
5, 40, 31, 52.3, 40, 44, 05.2, 54 Draconis
5, 37, 49, 51.1, 35, 32, 57.5, HD 187275
5, 41, 53, 28.3, 32, 37, 56.0, 13 Cyg 
5, 45, 14, 58.3, 33, 29, 08.1, HD 181597
5, 47, 16, 42.7, 34, 54, 52.3, HD 178208
5, 50, 52, 36.2, 35, 25, 03.7, HD 174481
