loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 46, 58.6, 16, 35, 17.5, HIP 84623 
1, 84, 13, 02.3, 16, 31, 29.3, HD 157011 
1, 83, 38, 02.2, 16, 51, 21.7, Gaia DR3 4547486741370248832
1, 82, 27, 39.9, 17, 02, 29.1, Gaia DR3 4553585315754821888
1, 81, 34, 04.3, 15, 47, 08.2, Gaia DR3 4550311833419363840
1, 81, 41, 21.8, 14, 20, 20.8, Gaia DR3 4549829938088848512
1, 83, 17, 15.2, 14, 02, 37.3, Gaia DR3 4543783070811989760
1, 85, 51, 40.4, 13, 20, 50.9, Gaia DR3 4543040312049940352
5, 57, 44, 27.6, 33, 43, 16.1, HIP 90524
5, 53, 04, 21.7, 30, 52, 59.8, 13 Lyr
5, 50, 02, 59.0, 30, 03, 51.3, HJ 1374
5, 50, 09, 29.9, 26, 44, 34.3, HD 181436
5, 52, 23, 19.3, 23, 52, 34.9, θ Lyr
5, 57, 13, 03.8, 24, 51, 32.1, δ2 Lyr
5, 59, 47, 13.5, 25, 05, 41.7, Gaia DR3 2094946444104814848
5, 64, 23, 46.4, 27, 38, 15.6, κ Lyr
