loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 31, 12.8, 15, 26, 19.9, Gaia DR3 4546663516399244672
1, 82, 31, 40.8, 15, 47, 59.1, HIP 85161
1, 80, 38, 28.1, 16, 36, 16.2, Gaia DR3 4553987191552630656
1, 78, 50, 02.4, 16, 37, 15.2, HIP 86101
1, 77, 18, 42.4, 16, 12, 30.1, HIP 86634
1, 76, 18, 29.5, 14, 39, 57.0, HIP 87192
1, 75, 52, 47.4, 13, 45, 31.5, Gaia DR3 4551151104389242880
1, 77, 24, 49.1, 13, 28, 07.1, Σ 2215
1, 79, 18, 29.5, 13, 02, 29.9, A 2091
1, 80, 01, 07.7, 12, 58, 06.5, Gaia DR3 4549094193011903232
1, 81, 25, 21.7, 13, 02, 13.4, Gaia DR3 4548989945564443136
1, 82, 51, 58.8, 13, 31, 43.6, Gaia DR3 4543636870125353600
5, 55, 37, 08.4, 29, 16, 42.3, HD 173936
5, 51, 55, 48.3, 27, 22, 48.3, HD 178329
5, 46, 11, 27.9, 25, 46, 43.1, HD 184875
5, 48, 10, 59.4, 22, 36, 22.5, HD 184603
5, 51, 36, 07.5, 22, 43, 19.4, HD 181470
5, 57, 30, 39.6, 21, 31, 09.2, SAO 67636
5, 59, 17, 45.1, 21, 52, 13.4, 10 Lyr
