loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 17, 48.2, 16, 20, 52.8, HD 155713 
1, 86, 51, 25.7, 14, 45, 41.3, SAO 102664 
1, 88, 04, 47.5, 14, 47, 09.7, Gaia DR3 4544807265893060608
1, 88, 45, 09.4, 15, 49, 23.4, HD 154463 
1, 89, 12, 58.9, 17, 28, 05.2, HD 153670 
1, 89, 40, 06.7, 18, 21, 43.8, HD 153108 
1, 89, 23, 41.1, 20, 17, 34.3, SAO 102460 
1, 89, 02, 10.3, 20, 14, 42.6, 54 Her 
1, 87, 45, 21.4, 18, 22, 19.4, HIP 83469 
6, 37, 36, 49.0, 27, 36, 06.8, 32 Cyg 
6, 36, 19, 09.0, 26, 20, 14.8, Gaia DR3 2083186136463701376
6, 35, 15, 25.7, 27, 29, 22.9, Gaia DR3 2083920094832530176
6, 34, 52, 57.9, 33, 04, 05.7, V1372 Cyg 
6, 36, 07, 37.9, 37, 20, 15.9, HD 188589 
6, 36, 48, 05.7, 38, 57, 19.0, HIP 97033 
6, 38, 47, 14.8, 41, 45, 54.6, HD 239066 
6, 39, 53, 54.2, 41, 25, 26.4, HIP 94829 
6, 39, 18, 09.3, 40, 13, 59.9, HIP 95520 
6, 39, 33, 06.5, 37, 28, 33.7, Gaia DR3 2138628872844169472
6, 38, 53, 26.9, 34, 06, 05.0, 20 Cyg 
