loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 39, 12.3, 11, 20, 49.5, Gaia DR3 4540315382937062784
1, 86, 04, 57.2, 11, 42, 32.4, SAO 102767 
1, 84, 46, 54.0, 10, 32, 19.4, Gaia DR3 4493772574697005952
1, 84, 12, 02.2, 9, 40, 18.3, Gaia DR3 4493496528559119616
1, 84, 01, 26.6, 8, 27, 17.2, HIP 86027 
1, 85, 00, 01.0, 7, 39, 19.1, SAO 122489 
1, 85, 40, 03.0, 8, 41, 06.5, HIP 85515 
1, 86, 18, 57.1, 10, 36, 13.1, Gaia DR3 4492188968715575040
6, 64, 24, 07.0, 13, 31, 04.6, HD 343365 
6, 63, 50, 44.8, 15, 41, 12.7, HIP 92612 
6, 64, 15, 00.0, 17, 32, 51.3, HIP 92138 
6, 64, 41, 19.8, 17, 50, 05.6, HIP 91934 
6, 66, 38, 04.4, 18, 29, 28.7, HIP 91152 
6, 66, 04, 30.0, 15, 20, 31.5, HD 336857 
6, 65, 29, 33.8, 14, 18, 07.6, HIP 92319 
