loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 94, 38, 13.5, 20, 44, 27.1, HD 159353
1, 91, 53, 34.4, 21, 29, 40.8, SAO 103027
1, 90, 54, 29.4, 20, 26, 14.1, Gaia DR2 4550988750326340608
1, 90,  6, 20.2, 19,  7, 49.2, HD 162865
1, 91,  0, 29.4, 17, 48, 27.7, HD 162734
1, 94, 35,  9  , 18, 27, 41.2, SAO 102983
2, 97, 56, 57.1, 26,  9, 52.2, HD 156111
2, 94,  4,   35, 28,  0, 23.2, 73 Herculis
2, 90, 18, 10.6, 27, 40, 11.7, 79 Herculis
2, 89,  3, 28.8, 27, 19, 52.8, 83 Herculis
2, 87,  5,  3.8, 26,  1, 43.9, HD 162828
2, 87, 14, 34.9, 24,  0,  3.5, HD 163547
2, 89, 53, 49.2, 23, 10, 51.9, HD 162076
2, 94, 40,47.85, 22, 25,  8.4, avg of HD 159353 & HD 159332
2, 96, 51, 47.8, 22, 30, 30.7, V640 Herculis
