loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 80, 39, 39.1, 13, 17, 51.7, Gaia DR3 4549094193011903232
1, 82, 10, 01.5, 12, 49, 37.0, Gaia DR3 4542722243951923456
1, 84, 09, 42.8, 12, 03, 50.7, Gaia DR3 4542132222824788608
1, 85, 29, 39.3, 10, 44, 01.8, Gaia DR3 4492312491975114624
1, 85, 21, 25.7, 10, 12, 06.6, Gaia DR3 4492236110276638336
1, 82, 03, 21.3, 9, 29, 50.9, HD 160694 
1, 79, 54, 11.2, 9, 52, 19.4, SAO 103118 
1, 78, 56, 04.0, 11, 19, 09.1, Gaia DR3 4500890435016106496
1, 79, 27, 33.1, 12, 36, 13.9, HIP 86816 
1, 79, 59, 16.9, 13, 09, 47.7, SAO 103022 
6, 49, 28, 41.5, 17, 18, 56.7, 17 Cyg 
6, 46, 46, 57.9, 18, 06, 21.7, HD 226635 
6, 45, 22, 17.6, 19, 08, 51.2, 25 Cyg 
6, 46, 22, 52.4, 20, 43, 01.8, HD 226266 
6, 47, 47, 48.3, 22, 02, 53.9, HIP 97029 
6, 52, 14, 58.5, 21, 03, 20.7, HIP 95616 
6, 55, 42, 47.6, 20, 08, 48.4, HD 180397 
6, 57, 25, 08.2, 17, 44, 22.7, SAO 67996 
6, 55, 31, 55.4, 17, 07, 52.1, SAO 68208 
