loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 43, 21.2, 14, 30, 37.1, Gaia DR3 4543379962361598080
1, 86, 59, 37.6, 13, 45, 13.7, Gaia DR3 4541755502651018496
1, 87, 18, 49.5, 14, 11, 42.2, Gaia DR3 4541824393926646912
1, 88, 29, 52.0, 14, 17, 39.1, HD 155181 
1, 89, 21, 34.6, 15, 38, 01.1, HD 154259 
1, 89, 31, 22.9, 16, 32, 30.3, V451 Her 
1, 89, 31, 39.0, 18, 41, 01.6, Gaia DR3 4558531541831422592
1, 89, 01, 49.9, 19, 19, 54.1, Gaia DR3 4558711415058823552
1, 88, 44, 55.3, 19, 23, 52.5, Gaia DR3 4558743541417539072
1, 87, 55, 02.8, 18, 15, 41.3, HIP 83489 
6, 40, 51, 40.6, 24, 47, 40.7, HIP 99156 
6, 39, 09, 07.9, 26, 18, 14.4, Gaia DR3 2082418986582539520
6, 39, 07, 09.1, 28, 46, 12.5, Gaia DR3 2085929314890804864
6, 39, 28, 59.3, 33, 11, 55.2, HD 235024 
6, 39, 51, 52.8, 34, 44, 47.6, HIP 97126 
6, 41, 19, 50.4, 37, 23, 06.1, HIP 95719 
6, 43, 01, 40.4, 38, 44, 14.9, HIP 94609 
6, 44, 00, 14.3, 37, 05, 06.8, 1 Cyg 
6, 42, 55, 00.7, 32, 50, 21.5, 13 Cyg 
6, 42, 35, 35.9, 27, 16, 39.2, HIP 97906 
