loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 57, 42.2, 15, 51, 37.0, V655 Her 
1, 87, 30, 32.7, 17, 00, 43.0, HIP 83682 
1, 85, 51, 45.6, 14, 54, 31.8, Gaia DR3 4546440899653937024
1, 85, 25, 03.9, 14, 22, 20.7, HIP 84682 
1, 85, 01, 44.7, 12, 42, 28.2, Gaia DR3 4542288112955372032
1, 86, 43, 39.4, 11, 58, 35.5, SAO 102726 
1, 87, 35, 55.4, 13, 38, 36.7, HIP 84167 
1, 87, 59, 59.4, 15, 32, 40.6, HD 154830 
3, 50, 09, 08.7, 16, 57, 07.1, SAO 68600 
3, 50, 45, 26.5, 17, 27, 19.2, Gaia DR3 2045698184446347008
3, 51, 03, 01.2, 18, 33, 55.5, Gaia DR3 2046559308203398400
3, 51, 23, 32.5, 20, 40, 38.5, Gaia DR3 2050137909302733568
3, 51, 19, 35.7, 21, 21, 38.9, Gaia DR3 2050247585589981696
3, 50, 19, 21.8, 21, 20, 42.6, HIP 95666 
3, 49, 48, 04.0, 20, 37, 51.3, HIP 96019 
3, 49, 23, 10.4, 18, 33, 16.3, HIP 96546 
3, 49, 16, 00.4, 17, 18, 05.0, HD 225352 
3, 49, 24, 27.3, 17, 02, 35.6, Gaia DR3 2046996364093895040
