loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 08, 49.7, 15, 54, 13.1, HD 155841 
1, 86, 18, 55.2, 16, 17, 05.1, Gaia DR3 4546799409163889920
1, 86, 25, 13.7, 17, 41, 59.0, Gaia DR3 4547962795546915200
1, 85, 40, 21.3, 18, 15, 59.2, Gaia DR3 4548445137555939456
1, 84, 19, 37.0, 18, 36, 16.0, Gaia DR3 4548620509662738816
1, 82, 51, 53.8, 18, 22, 44.4, Gaia DR3 4554691806714182912
1, 81, 40, 21.9, 17, 39, 16.5, Gaia DR3 4554452559852149120
1, 81, 23, 09.4, 16, 39, 06.8, Gaia DR3 4553418847120549504
1, 81, 08, 42.6, 15, 30, 45.1, Gaia DR3 4550296848274990592
1, 82, 06, 35.6, 15, 14, 21.3, Gaia DR3 4550155286154112512
1, 84, 48, 12.9, 14, 36, 19.4, Gaia DR3 4543542312125717888
1, 85, 41, 19.1, 15, 12, 28.1, Gaia DR3 4546595862074028800
6, 38, 16, 04.3, 30, 46, 34.2, HIP 98731 
6, 38, 26, 12.0, 28, 55, 45.0, SAO 49208 
6, 37, 04, 41.7, 28, 11, 34.9, HIP 99885 
6, 34, 22, 39.4, 26, 50, 44.4, HIP 101350 
6, 32, 13, 14.9, 26, 56, 09.4, HIP 102233 
6, 28, 04, 04.8, 27, 21, 23.1, HIP 103918 
6, 26, 34, 54.8, 28, 12, 25.0, Gaia DR3 2169518449434393600
6, 26, 33, 03.8, 30, 38, 30.4, HIP 103955 
6, 28, 02, 05.2, 31, 54, 54.8, HIP 103024 
6, 34, 47, 37.0, 33, 01, 47.3, V1372 Cyg 
