loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 87, 18, 44.3, 12, 54, 04.9, Gaia DR3 4541368779497559808
1, 87, 20, 10.6, 14, 29, 40.7, Gaia DR3 4541864251223209600
1, 86, 11, 35.0, 14, 34, 17.6, Gaia DR3 4543400406406310016
1, 82, 58, 32.6, 14, 21, 02.0, HIP 85626 
1, 82, 39, 59.1, 12, 55, 28.1, V642 Her 
1, 84, 16, 12.7, 11, 48, 59.7, Gaia DR3 4542062506910475392
1, 85, 28, 19.3, 11, 48, 13.3, Gaia DR3 4541961661083107456
1, 87, 04, 38.6, 12, 08, 05.0, HD 156877 
6, 46, 20, 17.8, 28, 17, 16.9, HIP 96347 
6, 49, 08, 59.7, 28, 02, 13.8, HIP 95352 
6, 52, 50, 59.1, 25, 25, 28.5, Gaia DR3 2099713342407490688
6, 53, 23, 17.2, 24, 08, 28.2, 21 Lyr 
6, 53, 06, 40.3, 22, 35, 22.4, SAO 68186 
6, 51, 36, 43.4, 21, 06, 40.5, HIP 95953 
6, 49, 23, 57.9, 21, 45, 31.4, HIP 96609 
6, 45, 29, 59.3, 24, 14, 40.8, HIP 97527 
6, 44, 50, 20.0, 25, 08, 08.7, Gaia DR3 2078508126802669056
6, 44, 51, 06.4, 26, 55, 54.3, SAO 48804 
