loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 22, 40.9, 16, 19, 01.0, Gaia DR3 4546799409163889920
1, 86, 31, 39.8, 15, 14, 11.5, Gaia DR3 4546481134907874688
1, 88, 30, 41.1, 15, 56, 16.9, HIP 83617 
1, 89, 07, 47.5, 16, 50, 08.2, Gaia DR3 4546116131406338944
1, 89, 36, 05.8, 18, 19, 40.8, HD 153108 
1, 89, 19, 40.4, 20, 15, 31.4, SAO 102460 
1, 88, 48, 38.4, 20, 31, 39.2, Gaia DR3 4559612670998454528
1, 88, 11, 19.1, 20, 06, 14.7, Gaia DR3 4561050626049347200
1, 87, 01, 49.6, 18, 42, 32.1, SAO 102583 
6, 35, 32, 36.5, 27, 49, 44.8, HIP 100657 
6, 34, 25, 34.0, 26, 51, 52.8, HIP 101350 
6, 32, 53, 46.6, 28, 40, 59.2, HIP 101611 
6, 34, 09, 43.8, 35, 25, 43.9, HIP 99294 
6, 35, 43, 06.9, 36, 53, 11.4, HIP 98111 
6, 36, 45, 42.2, 35, 27, 05.1, HIP 98100 
