loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 78, 04, 27.3, 13, 39, 36.7, HIP 86975 
1, 79, 04, 25.3, 14, 21, 45.1, Gaia DR3 4549722804424477440
1, 81, 23, 09.0, 14, 11, 21.3, Gaia DR3 4549827326748724608
1, 85, 03, 04.3, 12, 43, 09.1, Gaia DR3 4542288112955372032
1, 85, 09, 42.4, 11, 54, 47.9, SAO 102800 
1, 83, 45, 43.8, 11, 33, 22.1, Gaia DR3 4542062506910475392
1, 80, 20, 53.6, 10, 45, 30.4, SAO 103062 
1, 78, 31, 04.3, 10, 23, 36.3, SAO 103151 
1, 77, 48, 52.1, 11, 20, 05.4, SAO 103160 
1, 77, 28, 38.1, 12, 06, 47.8, Gaia DR3 4502757302683405952
6, 41, 36, 51.6, 19, 15, 57.9, HIP 99821 
6, 40, 09, 41.5, 20, 59, 12.2, HD 193322 
6, 40, 21, 49.8, 21, 42, 04.8, HD 228635 
6, 41, 29, 47.1, 22, 39, 23.3, HD 227908 
6, 42, 47, 00.5, 23, 08, 52.3, HD 227178 
6, 45, 29, 19.9, 22, 53, 46.0, HD 226086 
6, 49, 28, 44.1, 21, 48, 35.1, SAO 68551 
6, 49, 20, 58.6, 18, 01, 16.8, V2090 Cyg 
6, 46, 29, 45.0, 18, 00, 53.3, HD 226687 
