loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 77, 36, 08.5, 9, 52, 10.9, Gaia DR3 4499888466391722240
1, 75, 56, 31.2, 8, 40, 28.8, HIP 88455 
1, 75, 28, 55.9, 7, 18, 03.5, HIP 88814 
1, 76, 25, 22.3, 6, 34, 33.0, HIP 88627 
1, 78, 03, 53.7, 6, 39, 49.5, Gaia DR3 4495096008741788288
3, 55, 43, 22.0, 12, 16, 03.0, HD 338277 
3, 52, 47, 55.9, 12, 12, 56.2, V1764 Cyg 
3, 52, 18, 43.9, 11, 02, 16.7, Gaia DR3 2022103008543757440
3, 52, 37, 48.6, 10, 25, 39.8, Gaia DR3 2021997317980749440
3, 53, 10, 57.2, 9, 46, 31.5, HIP 96730 
3, 55, 17, 36.3, 9, 45, 04.3, Gaia DR3 2021356543234078080
