loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 29, 54.5, 21, 37, 06.8, Gaia DR3 4562079695915325184
1, 84, 38, 35.9, 21, 37, 30.0, Gaia DR3 4562074511892669952
1, 83, 29, 51.8, 21, 34, 44.4, HIP 83942
1, 81, 26, 19.5, 21, 51, 12.9, COU 315 
1, 80, 53, 20.8, 20, 59, 11.5, Gaia DR3 4567722222088555520
1, 80, 41, 18.9, 19, 31, 51.3, HIP 85110 
1, 80, 57, 48.4, 19, 02, 45.4, Gaia DR3 4555228643264705408
1, 81, 32, 18.2, 18, 55, 01.1, Gaia DR3 4555187652096566528
1, 83, 31, 59.8, 18, 50, 56.2, HIP 84372 
1, 84, 57, 04.8, 19, 02, 46.2, Gaia DR3 4560590171197986688
6, 22, 36, 40.5, 35, 24, 42.0, HIP 104642 A
6, 24, 12, 06.7, 32, 56, 05.4, HIP 104425 
6, 22, 05, 22.7, 32, 38, 52.4, HD 239643 
6, 20, 41, 57.3, 32, 12, 32.9, V429 Cep 
6, 18, 28, 21.8, 32, 57, 35.5, μ Cep 
6, 18, 15, 31.2, 34, 25, 18.0, LDN 1134
6, 19, 40, 26.0, 35, 02, 28.7, HIP 106227 
