loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 53, 09.2, 14, 03, 53.1, Gaia DR3 4541802575492644736
1, 87, 17, 33.9, 14, 33, 29.7, Gaia DR3 4541868958507411712
1, 87, 10, 11.9, 15, 06, 42.4, Gaia DR3 4544952573226580992
1, 86, 25, 14.8, 15, 23, 15.6, Gaia DR3 4546496699869127808
1, 82, 29, 20.5, 14, 54, 17.4, SAO 102867 
1, 82, 16, 58.3, 13, 11, 58.5, Gaia DR3 4548922840995379456
1, 83, 11, 27.3, 12, 22, 58.3, Gaia DR3 4542559280011351424
1, 85, 07, 48.9, 12, 15, 42.1, Gaia DR3 4542018629527811456
1, 86, 13, 53.1, 12, 41, 41.9, HD 157167 
6, 44, 13, 10.7, 23, 59, 21.4, HIP 98001 
6, 42, 31, 14.3, 24, 32, 06.4, HIP 98558 
6, 41, 30, 55.1, 27, 07, 51.8, HIP 98383 
6, 42, 42, 32.2, 28, 51, 34.2, SAO 48872 
6, 44, 52, 16.7, 28, 53, 21.8, HIP 96706 
6, 49, 03, 04.6, 27, 59, 16.0, HIP 95352 
6, 51, 22, 27.3, 25, 56, 01.9, HIP 94973 
6, 50, 42, 07.7, 23, 07, 21.5, HD 183751 
6, 48, 37, 49.2, 22, 24, 22.7, HD 185873 
