loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 18, 55.2, 16, 17, 05.1, Gaia DR3 4546799409163889920
1, 86, 08, 49.7, 15, 54, 13.1, HD 155841 
1, 87, 08, 00.2, 15, 59, 21.2, HD 155248 
1, 89, 12, 05.9, 17, 47, 11.4, HD 153456 
1, 89, 29, 19.9, 19, 49, 02.3, Gaia DR3 4559401667845748096
1, 89, 08, 07.8, 20, 59, 41.1, Gaia DR3 4559863531447583104
1, 88, 31, 29.5, 20, 26, 13.2, Gaia DR3 4561111889462791040
1, 87, 33, 51.4, 18, 36, 28.5, HD 154185 
6, 34, 06, 44.8, 27, 50, 17.7, 46 Cyg 
6, 33, 03, 31.5, 27, 37, 34.3, SAO 49863 
6, 31, 43, 17.4, 27, 39, 43.3, Gaia DR3 2168310395403851904
6, 30, 34, 25.6, 29, 40, 55.8, Gaia DR3 2182081361915964032
6, 30, 54, 17.0, 31, 39, 24.0, HIP 101779 
6, 31, 12, 48.5, 34, 52, 17.7, HIP 100808 
6, 33, 14, 08.2, 35, 54, 21.7, HD 192479 
6, 33, 36, 34.5, 35, 21, 01.2, Gaia DR3 2186364926078933632
