loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 59, 22.2, 17, 28, 36.1, Gaia DR3 4547968460604413824
1, 86, 01, 10.2, 16, 31, 16.4, HD 155676 
1, 86, 55, 56.4, 16, 13, 42.5, Gaia DR3 4547512163280155136
1, 88, 51, 49.6, 17, 53, 30.1, HD 153583 
1, 89, 36, 38.2, 20, 01, 21.9, Gaia DR3 4559454100805835776
1, 89, 04, 34.0, 20, 57, 51.8, Gaia DR3 4559863531447583104
1, 88, 25, 26.7, 20, 48, 20.6, Gaia DR3 4561328939929971840
6, 30, 38, 13.7, 37, 50, 22.9, HD 239382 
6, 31, 52, 46.9, 36, 45, 32.4, HD 239366
6, 31, 33, 56.9, 28, 19, 06.2, Gaia DR3 2180353449340119040
6, 29, 41, 03.9, 26, 54, 19.8, HIP 103296 
6, 28, 31, 16.0, 28, 44, 19.9, LDN 996
6, 28, 32, 16.4, 33, 39, 49.9, V414 Cep 
6, 28, 34, 24.8, 36, 59, 36.9, HIP 101440 
