loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 81, 26, 32.8, 13, 57, 53.8, HD 159353
1, 77, 50, 39.4, 13, 41, 20.0, Gaia DR2 4550988750326340608
1, 76, 53, 08.2, 11, 38, 19.4, HD 163242
1, 77, 54, 32.1, 11, 03, 02.7, HD 162734
1, 79, 19, 27.7, 11, 09, 07.4, HD 161729A
1, 82, 34, 37.9, 11, 49, 45.3, SAO 102915
3, 47, 21, 07.7, 18, 48, 21.0, HD 186901
3, 45, 11, 23.0, 18, 50, 14.4, HD 188650
3, 44, 11, 25.9, 18, 27, 07.7, 25 Cygni
3, 43, 24, 51.5, 16, 56, 35.0, 27 Cygni
3, 43, 48, 03.5, 15, 25, 02.1, HD 191243
3, 45, 19, 18.7, 13, 39, 16.1, V1768 Cygni
3, 49, 34, 35.0, 15, 45, 34.3, HD 186377
3, 50, 29, 26.0, 17, 42, 13.0, V1919 Cygni
3, 50, 48, 00.5, 18, 35, 00.7, 8 Cygni
