loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 54, 06.4, 19, 58, 14.4, HD 154441
1, 84, 05, 46.2, 20, 09, 08.2, Gaia DR3 4567006955415948032
1, 83, 00, 04.9, 20, 34, 10.6, HD 155923
1, 81, 32, 32.7, 20, 49, 00.7, Gaia DR3 4567613370438512512
1, 80, 53, 08.9, 19, 30, 09.7, Gaia DR3 4567354950845919360
1, 80, 37, 43.9, 18, 17, 28.4, Gaia DR3 4554950432465437056
1, 82, 21, 59.5, 17, 42, 01.4, Gaia DR3 4554383531135063936
1, 82, 59, 23.8, 17, 44, 06.8, Gaia DR3 4554364358400769280
1, 83, 30, 10.4, 18, 20, 04.8, Gaia DR3 4554617864556490240
1, 85, 12, 48.9, 17, 46, 05.6, HD 155544
6, 14, 11, 44.7, 36, 28, 32.0, 18 Cep
6, 12, 43, 34.5, 35, 21, 14.7, HD 211589
6, 11, 48, 50.1, 31, 12, 45.5, 27 Cep
6, 13, 00, 03.3, 30, 15, 30.6, HD 212454
6, 15, 16, 37.0, 29, 27, 10.9, HD 210628
6, 17, 30, 13.6, 30, 28, 21.9, 13 Cep
6, 19, 39, 12.1, 31, 54, 50.2, HD 206267
6, 21, 31, 12.4, 33, 03, 23.6, HD 204231
