loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 14, 42.2, 17, 31, 43.1, Gaia DR3 4547947436743981184
1, 84, 02, 01.2, 18, 09, 47.8, Gaia DR3 4548544815158887168
1, 82, 06, 07.4, 17, 47, 46.4, Gaia DR3 4554459564938442496
1, 81, 11, 13.2, 16, 06, 55.1, SAO 102875
1, 82, 30, 11.7, 15, 30, 27.5, TYC 1541-1226-1
1, 84, 50, 42.5, 14, 49, 12.8, SAO 102756
6, 33, 06, 45.5, 34, 16, 02.8, HD 193592
6, 31, 04, 06.1, 34, 10, 40.1, HD 195554
6, 28, 35, 35.2, 33, 41, 04.6, V414 Cephei
6, 25, 51, 14.7, 29, 34, 42.7, HD 201834
6, 28, 14, 24.9, 26, 56, 00.6, HD 200740
6, 30, 31, 05.7, 26, 58, 04.6, HD 198877
6, 34, 46, 14.8, 28, 16, 40.4, 43 Cygni
6, 36, 15, 00.2, 29, 49, 18.0, HD 192983
6, 36, 08, 43.4, 31, 08, 53.7, HD 192439
