loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 82, 05, 16.2, 11, 35, 08.0, Gaia DR3 4494512168066107776
1, 84, 21, 49.0, 10, 42, 52.4, Gaia DR3 4493893138721294336
1, 84, 59, 15.9, 9, 23, 40.8, SAO 102886
1, 83, 54, 44.9, 8, 45, 10.9, HIP 86193 
1, 81, 39, 39.7, 8, 46, 30.4, SAO 103074
1, 80, 02, 00.2, 9, 14, 51.9, HD 162281 
1, 79, 47, 20.5, 11, 23, 21.8, HIP 86996 
1, 80, 18, 59.8, 11, 47, 52.3, Gaia DR3 4500661354344643456
6, 52, 13, 46.9, 19, 24, 48.2, 8 Cyg 
6, 55, 49, 19.7, 19, 40, 15.8, HIP 94740
6, 58, 50, 15.4, 19, 36, 58.7, HIP 93718 
6, 62, 55, 10.7, 17, 20, 53.9, HIP 92768 
6, 62, 31, 02.0, 15, 38, 18.1, Gaia DR3 2036845775800421760
6, 59, 44, 23.2, 15, 42, 05.8, HD 337650 
6, 56, 35, 24.6, 15, 36, 34.2, SAO 87130 
6, 53, 35, 28.8, 16, 10, 12.0, SAO 68477 
6, 50, 45, 14.3, 17, 41, 24.4, HD 225394 
6, 50, 41, 47.0, 18, 07, 24.0, HD 225352 
6, 51, 00, 03.5, 19, 02, 49.0, Gaia DR3 2047297595910915712
