loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 18, 01.3, 16, 20, 59.5, HD 155713
1, 83, 43, 29.3, 17, 06, 11.3, V656 Herculis
1, 81, 44, 50.4, 16, 53, 06.8, TYC 1545-113-1
1, 80, 53, 13.4, 15, 20, 00.5, TYC 1542-421-1
1, 82, 13, 57.9, 14, 46, 22.7, SAO 102867
1, 83, 59, 16.0, 14, 27, 44.5, HD 157741
1, 86, 45, 38.9, 14, 30, 14.3, Rasalgethi
6, 36, 18, 55.2, 33, 08, 12.2, HD 191195
6, 33, 12, 48.5, 32, 15, 02.6, HD 194668
6, 32, 06, 18.3, 31, 00, 25.1, HD 196239
6, 30, 01, 28.8, 29, 45, 48.3, Gaia DR2 2182157988437859968
6, 30, 43, 38.7, 27, 33, 09.8, HD 198624
6, 33, 32, 04.8, 26, 21, 47.5, HD 196865
6, 37, 36, 47.9, 27, 36, 06.3, 32 Cygni
6, 38, 46, 39.2, 30, 46, 20.8, e Cygni
