loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 79, 37, 52.0, 16, 39, 08.3, Gaia DR3 4553939981274893312
1, 80, 03, 39.3, 16, 31, 48.4, Gaia DR3 4553834359437088896
1, 82, 10, 30.5, 15, 36, 34.0, Gaia DR3 4553172277340350336
1, 83, 39, 14.5, 13, 59, 55.6, Gaia DR3 4543861063120224768
1, 82, 18, 22.4, 13, 21, 16.0, SAO 102866 
1, 81, 25, 59.9, 12, 49, 21.3, HIP 85976
1, 76, 38, 11.6, 12, 44, 48.5, Gaia DR3 4502890515390753408
1, 75, 36, 03.6, 13, 31, 40.2, HIP 87626 
1, 75, 59, 03.8, 14, 35, 45.9, Gaia DR3 4551806172802234880
1, 76, 14, 54.4, 14, 50, 22.3, Gaia DR3 4551824520903077248
6, 38, 12, 35.5, 26, 05, 10.6, HD 192599 
6, 40, 23, 10.9, 25, 45, 23.8, HD 190735 
6, 40, 03, 34.6, 23, 55, 21.8, HD 191873 
6, 39, 49, 18.6, 22, 03, 05.3, HD 228633 
6, 39, 26, 52.4, 21, 21, 26.2, HD 228871 
6, 37, 47, 25.0, 20, 50, 23.1, SAO 49648 
6, 34, 28, 03.1, 20, 23, 55.0, HIP 102321
6, 33, 53, 00.2, 22, 10, 18.8, HIP 102252 
6, 34, 53, 44.0, 24, 15, 57.4, Gaia DR3 2071169745679972096
6, 35, 26, 15.7, 25, 40, 31.1, SAO 49661 
6, 37, 22, 41.2, 26, 05, 37.2, HIP 100040 
