loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 77, 45, 15.5, 13, 38, 34.2, HIP 87044 
1, 78, 34, 56.7, 14, 19, 18.4, Gaia DR3 4549747917096132992
1, 79, 50, 48.7, 14, 44, 43.9, Gaia DR3 4550435111863176832
1, 81, 29, 31.1, 14, 33, 45.9, HIP 85799 
1, 82, 34, 13.4, 13, 59, 33.3, Gaia DR3 4543817258751975296
1, 84, 03, 57.9, 12, 21, 10.7, Gaia DR3 4542319994494856832
1, 82, 29, 09.9, 11, 46, 57.1, SAO 102915 
1, 81, 14, 55.3, 11, 32, 50.1, Gaia DR3 4500578203777619072
1, 78, 06, 47.9, 11, 27, 30.3, SAO 103140 
1, 77, 06, 41.2, 11, 59, 46.1, Gaia DR3 4502576742258705792
6, 43, 33, 16.8, 18, 51, 29.1, HD 227739 
6, 41, 39, 36.9, 19, 08, 52.5, HD 228520 
6, 39, 20, 31.6, 21, 11, 05.0, HD 229039 
6, 39, 08, 50.2, 21, 55, 11.3, HD 228987 
6, 39, 28, 57.6, 23, 09, 53.7, HIP 99880 
6, 41, 12, 57.9, 23, 32, 19.6, SAO 49199 
6, 46, 47, 58.2, 24, 17, 04.2, HIP 96810 
6, 48, 53, 21.6, 24, 16, 38.7, Gaia DR3 2053303025323924096
6, 48, 31, 04.4, 23, 07, 49.4, HIP 96419 
6, 45, 05, 47.9, 19, 01, 36.1, 25 Cyg 
