loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 53, 41.6, 18, 22, 21.4, HD 155155 
1, 84, 38, 36.0, 18, 24, 58.2, Gaia DR3 4548573849138604672
1, 82, 52, 14.9, 18, 40, 17.7, SAO 102740 
1, 81, 05, 30.2, 18, 03, 00.8, HIP 85385 
1, 80, 44, 42.1, 16, 41, 15.8, Gaia DR3 4553803092074998912
1, 81, 17, 12.7, 15, 48, 11.8, Gaia DR3 4553316966199430784
1, 82, 36, 00.2, 15, 32, 49.2, SAO 102822 
1, 84, 58, 26.5, 15, 33, 28.3, SAO 102721 
1, 85, 57, 42.2, 15, 51, 37.0, V655 Her 
1, 87, 30, 32.7, 17, 00, 43.0, HIP 83682 
3, 31, 24, 23.2, 23, 15, 10.2, 55 Cyg 
3, 31, 39, 24.9, 22, 09, 18.3, Gaia DR3 2163219686619157504
3, 32, 20, 56.4, 21, 48, 44.8, Gaia DR3 2067134984675459584
3, 33, 46, 41.2, 21, 41, 43.1, Gaia DR3 2069663376081947264
3, 34, 29, 10.2, 21, 46, 28.4, Gaia DR3 2069836484742051072
3, 36, 05, 43.9, 22, 11, 50.2, HIP 100989 
3, 36, 38, 46.9, 23, 04, 37.0, Gaia DR3 2069344247137766912
3, 36, 33, 33.4, 23, 46, 25.2, Gaia DR3 2081405614816017536
3, 35, 31, 06.9, 24, 28, 48.9, Gaia DR3 2083055913052790016
3, 34, 03, 18.8, 24, 58, 13.4, Gaia DR3 2071484029898590336
3, 33, 22, 03.8, 24, 57, 16.3, Gaia DR3 2071530866527315200
3, 31, 51, 49.2, 24, 22, 46.6, Gaia DR3 2166645146374930944
