loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 82, 19, 03.0, 12, 44, 43.5, V642 Herculis
1, 80, 30, 04.6, 13, 19, 54.5, TYC 1551-1844-1
1, 79, 11, 05.6, 13, 07, 49.9, TYC 1552-2220-1
1, 78, 28, 10.1, 12, 14, 49.7, TYC 1552-995-1
1, 78, 37, 51.1, 10, 57, 18.9, SAO 103143
1, 81, 39, 23.7, 9, 32, 50.5 , HD 160924
1, 83, 07, 25.5, 10, 35, 00.0, Rasalhague
4, 74, 00, 45.3, 17, 35, 42.9, 97 Herculis
4, 72, 48, 23.7, 17, 30, 51.7, HD 165847
4, 71, 07, 38.0, 17, 50, 09.0, HD 167044
4, 67, 10, 34.9, 18, 04, 21.4, HD 170111
4, 67, 17, 20.2, 14, 55, 28.6, HD 171245
4, 70, 05, 21.9, 14, 15, 30.8, 109 Herculis
4, 74, 04, 41.5, 14, 21, 29.1, 101 Herculis
4, 75, 04, 48.7, 15, 46, 22.5, 96 Herculis
