loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 31, 49.1, 14, 07, 40.4, Gaia DR3 4543483007217170944
1, 82, 36, 35.5, 14, 02, 54.9, V657 Her 
1, 80, 31, 36.8, 14, 50, 48.2, SAO 102926 
1, 78, 42, 57.8, 15, 01, 09.8, Gaia DR3 4550579182247445120
1, 77, 38, 44.0, 13, 35, 14.0, HIP 87044 
1, 76, 51, 09.9, 12, 17, 13.5, HIP 87485 
1, 77, 23, 06.8, 14, 53, 14.0, Gaia DR3 4552158841155633280
1, 79, 52, 56.6, 12, 09, 07.4, HIP 86601 
1, 82, 03, 43.3, 12, 11, 23.6, Gaia DR3 4542665206786261888
1, 84, 50, 11.7, 12, 24, 00.0, HIP 85109
5, 58, 16, 51.1, 26, 12, 41.3, Zeta1 Lyrae
5, 54, 39, 14.1, 26, 13, 17.9, V545 Lyrae
5, 51, 53, 32.3, 25, 42, 05.1, HD 179707
5, 51, 58, 23.2, 23, 40, 30.3, θ Lyrae
5, 52, 37, 19.9, 20, 40, 11.9, HD 181828
5, 55, 36, 57.9, 19, 12, 49.2, HD 179526
5, 58, 05, 53.9, 20, 30, 35.2, Sulafat
5, 62, 55, 19.5, 21, 12, 08.8, HD 172396
