loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 86, 53, 12.5, 14, 34, 06.9, 64 Her 
1, 87, 10, 51.9, 15, 06, 38.4, HD 155678 
1, 86, 51, 38.0, 16, 26, 58.9, Gaia DR3 4546794804958986752
1, 84, 37, 10.3, 16, 29, 00.5, Gaia DR3 4547295048390119424
1, 83, 29, 58.5, 16, 32, 12.4, Gaia DR3 4547420461434867072
1, 81, 37, 05.9, 15, 58, 26.6, Gaia DR3 4553316966199430784
1, 81, 19, 24.3, 15, 09, 24.4, Gaia DR3 4550221089350537088
1, 81, 26, 20.3, 14, 01, 49.9, Gaia DR3 4549152054810815232
1, 83, 26, 57.8, 12, 53, 44.9, HIP 85636 
1, 86, 02, 38.9, 13, 35, 57.5, SAO 102745 
6, 40, 51, 40.6, 24, 47, 40.7, HIP 99156 
6, 38, 40, 48.5, 24, 56, 14.1, HIP 100019 
6, 36, 21, 36.3, 25, 31, 40.6, HIP 100863 
6, 36, 04, 20.6, 27, 50, 45.7, HD 194300 
6, 37, 18, 03.5, 29, 23, 50.2, HD 192440 
6, 38, 22, 12.8, 30, 59, 49.8, HIP 98734 
6, 41, 10, 31.7, 30, 45, 35.5, SAO 48900 
6, 45, 22, 34.9, 29, 42, 52.5, HIP 96296 
6, 46, 37, 20.9, 28, 30, 15.1, HIP 96125 
6, 46, 34, 44.6, 26, 45, 46.0, SAO 48661 
6, 46, 16, 04.0, 24, 48, 52.8, HIP 97081 
6, 42, 21, 18.9, 24, 39, 58.7, V1675 Cyg 
