loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 85, 11, 47.6, 8, 17, 40.0, Gaia DR3 4490886322314797056
1, 86, 33, 09.8, 12, 41, 26.8, Gaia DR3 
1, 88, 20, 50.8, 17, 09, 30.9, HIP 83495 
6, 66, 36, 29.4, 14, 01, 03.4, HD 173781 
6, 52, 59, 39.0, 22, 32, 18.7, Gaia DR3 2051038581124004608
6, 36, 56, 37.2, 33, 48, 06.5, HD 190146 
