heights_1,heights_2,heights_3,heights_4,heights_5,heights_6,heights_7,error_position_1,error_position_2,error_position_3,error_position_4,error_position_5,error_position_6,error_position_7,parallel_speeds_1,parallel_speeds_2,parallel_speeds_3,parallel_speeds_4,parallel_speeds_5,parallel_speeds_6,parallel_speeds_7,error_speeds_1,error_speeds_2,error_speeds_3,error_speeds_4,error_speeds_5,error_speeds_6,error_speeds_7,inter_bulb_distance_1,inter_bulb_distance_2,inter_bulb_distance_3,error_inter_distance_1,error_inter_distance_2,error_inter_distance_3
102.95648487197,110.249329367782,117.378867486383,112.254935431394,0,120.355886510745,0,9.04239618043334,6.5762620722906,5.74761476704331,4.86651494101144,0,4.7239651667945,0,1.06124617262746,0.691835538277808,0.606988211983882,0.365791403054366,0,0.272687260069584,0,0.791145424636251,0.570448028304588,0.496955413952916,0.414112932353339,0,0.403980882855365,0,149.242340379208,109.091366339016,88.5730219037937,11.1808833071168,8.1810873674919,6.78224259136868
109.959367127316,109.493250387466,116.452970292472,111.889800009994,0,117.043039523729,0,9.35959353336063,6.77726274592689,5.9102921980776,4.96322971603888,0,4.87171397920829,0,0.179632697294072,0.586790417454221,0.445004190078826,0.545055713366266,0,0.612125296679147,0,0.781348080014128,0.580477146260835,0.502718160528106,0.431539750131491,0,0.380250302773074,0,153.709456562575,115.302214781409,89.5778763038757,11.555660147177,8.40029401518185,6.95465644797677
107.894099892725,110.643308903154,113.813754913391,114.240592814213,0,116.799001038326,119.323667038052,9.39869153716462,6.94817427725119,6.01379967917523,5.12801829777678,0,3.80925249566806,3.75013410709411,-0.0896918227305907,0.626513090250234,0.474936582683829,0.430107349631186,0,0.470727157132891,0.586930273212401,0.780904019447531,0.596221700231272,0.512863945483617,0.439383543047752,0,0.332568830971438,0.315306886700636,146.652972161836,115.637876073904,88.0793052997677,11.6881362243013,8.63560637415744,6.388033831946
106.810576388461,112.22072174605,114.327357103437,114.96429383116,117.098162376738,115.176335774752,120.367069201445,9.369884770901,7.12484421496139,6.14750658717916,5.25185840966216,4.47769194120289,3.90995740947054,3.38809533707382,0.241305538838809,0.773505467698779,0.452275656245887,0.553393839100721,0.222927189815542,0.598072334027255,0.595494478737728,0.784074660731304,0.626089857935744,0.522750690568994,0.454236995247006,0.376401542591176,0.34989130083036,0.306059613480833,135.328471461054,117.247747392774,87.1056146665636,11.771072411103,8.85129492462024,6.5475020961442
106.148985507145,116.731865634233,114.395741130897,112.287789420956,115.528584944612,117.116305813128,119.998554761762,9.4431526133207,7.39058359813718,6.27129255363675,5.38583733814256,4.51757803883213,4.08112104333986,3.52048036101655,0.257060344464478,0.0579807658135771,0.928756508688669,0.64327618139141,0.630359734979063,0.606061697189018,0.557003254172294,0.789997043308426,0.617336346278188,0.55837882362838,0.470986353389468,0.398308009527774,0.362768114707755,0.314301127810615,125.492292360418,122.998082128801,86.4982451932566,11.9914076404532,9.14483295385896,6.75742501277832
104.495895213137,113.537797963128,116.199030637265,115.132372164158,114.278764173484,116.340788691246,119.460298740513,9.51215693383621,7.37066112482218,6.54148550220358,5.58068496923743,4.67308951489835,4.23275053384486,3.63786966541617,0.42679222662804,-0.222316372797462,1.73930078804316,0.632018854836424,0.466637706889314,0.616296620026472,0.639495425132798,0.799955079151609,0.615049868959469,0.645913841563615,0.484665095464777,0.403832849930894,0.374991387785543,0.329110732874942,130.128948125816,111.297021403894,86.8221106984977,12.0336102209974,9.24503597304183,7.00430023682855
103.05065783152,106.572715068402,118.860243984966,114.977730539919,115.481186492026,116.389623567121,116.699931657639,9.62916047180661,7.27704636058811,7.04937499596239,5.75415760184298,4.80940017264461,4.39169446321004,3.76494746388846,0.781740595751717,0.782275345151072,0.168892273624772,0.432525371876877,0.573394869326886,0.690438250788293,0.915696811042643,0.822407272512708,0.630769812850907,0.592627436263925,0.489649407341804,0.418949552743132,0.392897354773281,0.363355120864521,140.40730586345,97.9536818079442,87.0528483751781,12.0696369094497,9.27716192814354,7.23859861886519
104.209178860053,107.532525400745,113.289865752727,113.019960289584,113.683659205512,117.764507453858,119.419212863206,9.85867492579458,7.50680027240569,7.04888139693463,5.86101260634074,4.95034836753931,4.57681506083614,4.01388965031063,0.0908777732554543,0.240018076107327,0,0.519284810376488,0.308347137606184,0.466937548050071,-0.152451003026905,0.821511267376668,0.629276752479793,0,0.502454977958581,0.418535657785454,0.396736333301908,0.338930033581078,140.321788343723,103.910361753143,83.0392762266582,12.3913486603469,9.52383951468499,7.4363098962309
104.400227936015,106.969616301181,0,114.138321032136,110.919054646146,114.976212159672,115.869199087016,9.88726304332575,7.55802615541179,0,6.01049291358105,5.00145581560889,4.673256063814,3.92695777065418,0.419928384598321,0.514552277464228,0,0.56357260172231,0,0.493865133874526,0.49226691291749,0.832323540969081,0.642369455267586,0,0.516258152240003,0,0.404765055139113,0.353968059710777,139.06580484144,98.2319199726996,83.8871351653799,12.445148848198,9.65659279612104,7.61349770487798
103.594606074982,108.915607843039,0,113.271976861993,0,114.203689645954,118.484935608274,10.0167905976193,7.71656662708547,0,6.16092149724766,0,4.79400430410224,4.09307701616366,0.789355363487279,0.180648161503113,0,0.523542846708645,0,0.511403855669168,0.555703586630203,0.85444744547646,0.645116217700365,0,0.527018639469861,0,0.41514051758359,0.359711450625915,137.935117650002,97.9706051692359,85.3579607383983,12.64442542731,9.87432803817543,7.80637117763428
