loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 27, 49.3, 8, 56, 48.2,  1, Gaia DR3 4499291332795098752
1, 78, 23, 59.4, 13, 57, 01.1, 2, V964 Her 
1, 83, 42, 48.3, 16, 30, 44.3, 3, SAO 102735 
1, 82, 28, 13.9, 20, 08, 11.0, 4, Gaia DR3 4567113986001879808
1, 84, 52, 46.7, 26, 04, 55.6, 5, Gaia DR3 1306189134848795264
1, 80, 37, 26.9, 29, 29, 57.5, 6, Gaia DR3 1309677335487712256
1, 79, 19, 26.0, 36, 07, 59.0, 7, SAO 65579 
6, 51, 57, 48.8, 15, 04, 51.0, 1, Gaia DR3 2032718376639399808
6, 37, 36, 48.2, 23, 43, 47.6, 2, HIP 100440 
6, 29, 49, 30.5, 31, 39, 00.8, 3, HIP 102097 
6, 13, 11, 53.0, 32, 06, 26.8, 4, HD 239921 
6, 354, 39, 12.9, 34, 36, 39.8, 5, HD 2043 
6, 345, 08, 19.5, 32, 19, 08.5, 6, HD 236730 
6, 333, 23, 19.6, 30, 53, 45.2, 7, HIP 11848 
