loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 12, 17.1, 8, 08, 35.8,  1, Gaia DR3 4496190018511916288
1, 79, 42, 37.1, 12, 40, 14.2, 2, HIP 86623
1, 82, 56, 37.6, 18, 11, 04.7, 4, HIP 84765 
1, 85, 53, 26.5, 22, 07, 50.3, 5, HIP 83270 
1, 82, 44, 30.3, 24, 24, 53.6, 6, SAO 84854 
1, 83, 32, 49.3, 30, 14, 20.1, 7, HIP 82469 
6, 53, 40, 58.1, 13, 42, 31.0, 1, HD 184828 
6, 40, 54, 43.8, 20, 51, 17.9, 2, HIP 99760 
6, 24, 36, 48.6, 30, 21, 37.6, 4, HIP 104850 
6, 6, 33, 42.8, 34, 15, 20.4,  5, HIP 113680 
6, 357, 53, 21.9, 34, 05, 22.0, 6, Gaia DR3 429924924968513920
6, 341, 04, 29.5, 33, 36, 28.7, 7, V777 Cas 
