loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 32, 39.0, 9, 47, 22.2,  1, SAO 103137 
1, 78, 23, 02.4, 14, 41, 38.7, 2, Gaia DR3 4550573585906174592
1, 83, 20, 36.9, 18, 45, 03.3, 3, HIP 84372 
1, 83, 17, 31.3, 22, 06, 02.8, 4, Gaia DR3 4568282079666435584
1, 79, 29, 51.1, 34, 08, 35.2, 6, HIP 82601 
6, 51, 28, 08.6, 15, 26, 59.1, 1, HIP 96618 
6, 31, 30, 24.8, 24, 06, 07.3, 2, V2136 Cyg 
6, 22, 59, 57.6, 32, 05, 30.6, 3, HIP 105108 
6, 4, 48, 56.9, 33, 28, 00.4,  4, Gaia DR3 2014867225548762880
6, 337, 39, 56.3, 29, 58, 32.8, 6, HD 12682 
