loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 06, 16.1, 7, 53, 54.1,  1, Gaia DR3 4495990564529588992
1, 79, 05, 03.0, 12, 49, 01.5, 2, Gaia DR3 4549256817653523328
1, 85, 26, 30.8, 14, 49, 31.4, 3, HIP 84550 
1, 82, 43, 04.2, 18, 35, 33.0, 4, SAO 102740 
1, 85, 13, 42.7, 22, 54, 43.5, 5, HIP 83304 
1, 81, 42, 18.7, 25, 46, 19.8, 6, SAO 84858 
1, 82, 23, 44.6, 30, 57, 50.9, 7, Gaia DR3 1312857260554043648
6, 53, 33, 01.6, 14, 07, 29.3, 1, HD 184719 
6, 39, 42, 53.3, 20, 58, 27.5, 2, V470 Cyg 
6, 42, 12, 24.3, 27, 06, 04.8, 3, HIP 97906 
6, 22, 01, 07.4, 30, 23, 08.4, 4, HIP 106052 
6, 4, 46, 36.1, 34, 41, 00.4,  5, SAO 20499 
6, 355, 20, 30.6, 33, 53, 38.9, 6, V743 Cas 
6, 343, 07, 07.4, 33, 14, 47.9, 7, Gaia DR3 509497131227770624
