loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 26, 22.3, 7, 47, 24.2,  1, Gaia DR3 4495959537685765376
1, 79, 43, 10.8, 12, 30, 29.3, 2, Gaia DR3 4548828626594417408
1, 83, 14, 50.6, 17, 31, 30.1, 4, Gaia DR3 4554291206517704704
1, 83, 50, 51.8, 23, 49, 21.0, 6, Gaia DR3 4571619063095803264
1, 82, 16, 33.6, 29, 58, 22.6, 7, Gaia DR3 1309746295482704384
6, 54, 34, 55.5, 13, 30, 07.5, 1, Gaia DR3 2026203637144558720
6, 42, 15, 05.6, 20, 50, 03.3, 2, HIP 99248 
6, 27, 24, 07.2, 29, 41, 47.6, 4, HIP 103707 
6, 0, 57, 32.2, 34, 03, 07.3,  6, Gaia DR3 2015941929448736768
6, 344, 59, 48.3, 33, 12, 42.2, 7, HIP 7013 
