loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 76, 29, 25.9, 6, 37, 38.4,  1, Gaia DR3 4495380885335831808
1, 82, 08, 01.5, 10, 09, 14.0, 2, Gaia DR3 4493325760660786816
1, 83, 59, 52.5, 14, 15, 50.4, 4, Gaia DR3 4543695968875476992
1, 85, 19, 16.5, 20, 05, 15.4, 6, Gaia DR3 4560909888561524736
6, 56, 45, 03.7, 11, 52, 40.1, 1, Gaia DR3 2024687406277634688
6, 52, 26, 28.1, 18, 06, 55.1, 2, HIP 96185 
6, 44, 33, 42.9, 26, 39, 32.2, 4, SAO 48831 
6, 27, 24, 17.8, 33, 37, 29.8, 6, HIP 103033 
