loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 76, 25, 52.5, 6, 48, 08.1,  1, SAO 103396 
1, 81, 56, 25.2, 9, 41, 32.3,  2, HD 160924 
1, 84, 43, 32.3, 13, 54, 06.0, 4, SAO 102797 
1, 85, 04, 23.2, 20, 16, 51.5, 6, HIP 84006 
6, 57, 15, 39.6, 11, 15, 38.9, 1, HIP 95744 
6, 54, 44, 24.1, 17, 07, 15.8, 2, HIP 95590 
6, 46, 50, 02.9, 25, 34, 34.1, 4, HD 185979 
6, 31, 21, 56.6, 32, 53, 38.8, 6, HIP 101433 
