loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 77, 28, 12.4, 7, 10, 59.0,  1, Gaia DR3 4495523100290541312
1, 81, 27, 08.8, 11, 05, 58.9, 2, Gaia DR3 4494309205091648000
1, 83, 52, 16.3, 15, 16, 41.0, 4, Gaia DR3 4544085677027602304
1, 84, 52, 44.7, 20, 10, 50.8, 6, HIP 84006 
6, 56, 17, 33.1, 12, 17, 13.5, 1, HD 183587 
6, 50, 38, 25.7, 19, 17, 50.6, 2, HIP 96546 
6, 39, 30, 55.7, 28, 13, 56.4, 4, HIP 98917 
6, 17, 52, 37.3, 34, 52, 21.2, 6, Gaia DR3 2203816718238225280
