heights,theta_pt,phi_pt
115.232976438834,63.4397230221741,30.3014821217302
116.122242417709,63.4331738371986,30.4774286928227
113.299254628593,63.4545759520284,30.5084467268881
112.897274291187,63.4208133906234,30.638221843019
115.356277758971,63.4664669108386,30.9632358606225
118.692546048364,63.4736503216984,31.313421923941
114.339936786637,63.4218085974189,31.2920778531821
116.386816202527,63.416856245952,31.5300208946477
117.085660522543,63.4046877234471,31.6892812025625
116.39018715767,63.4148558166578,31.8249813085091
114.207512976494,63.4178461646576,31.9307876663614
116.485146430824,63.4160593655769,32.3864280915377
117.614800330297,63.3712161076824,32.5659907713257
115.731757304032,63.3147424991417,32.7275617510168
119.252512674905,63.3018441523165,33.103569031876
118.911072095314,63.2865799914297,33.2967414400117
119.602988014404,63.2593097545884,33.4398932802261
124.627124818989,63.2732948731074,33.9708041684842
123.180011706965,63.2380399531078,34.250597159886
