loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 77, 24, 49.1, 7, 58, 51.1,  1, SAO 103280 
1, 79, 40, 33.1, 11, 57, 49.7, 2, SAO 103068 
1, 83, 51, 09.3, 16, 36, 44.4, 4, Gaia DR3 4547450835443497728
1, 83, 54, 10.2, 22, 25, 03.3, 6, Gaia DR3 4568282079666435584
6, 55, 14, 29.2, 13, 11, 22.3, 1, HD 183931 
6, 45, 05, 13.7, 20, 35, 04.0, 2, HIP 98213 
6, 31, 58, 25.8, 29, 03, 41.9, 4, HD 235306 
6, 6, 06, 10.3, 34, 28, 51.4,  6, HIP 114009 
