loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, bulb_number, star_name
1, 78, 20, 39.3, 9, 16, 28.0,  1, HIP 87420 
1, 79, 10, 37.8, 14, 16, 50.6, 2, Gaia DR3 4550374711740703872
1, 83, 34, 03.7, 17, 09, 40.3, 3, Gaia DR3 4548248286314418304
1, 82, 39, 48.6, 21, 25, 26.7, 4, SAO 84916 
1, 84, 35, 50.1, 26, 45, 45.7, 5, Gaia DR3 1306284895439748736
1, 80, 55, 23.0, 30, 32, 47.2, 6, HIP 83024 
1, 78, 44, 12.9, 38, 06, 57.7, 7, HD 151366 
6, 51, 22, 57.1, 15, 06, 45.1, 1, HD 332345 
6, 35, 55, 58.8, 23, 36, 02.9, 2, Gaia DR3 2070663111332243712
6, 27, 33, 48.3, 31, 31, 18.8, 3, HIP 103132 
6, 10, 16, 09.6, 32, 59, 49.8, 4, Gaia DR3 2200908265160555264
6, 353, 30, 00.9, 34, 42, 23.4, 5, HD 2928 
6, 341, 58, 36.5, 31, 34, 08.3, 6, V773 Cas 
6, 330, 59, 49.4, 30, 10, 10.1, 7, Gaia DR3 452962339265185536
